traceroute to tum.de (129.187.255.109), 30 hops max, 60 byte packets
 1  192.168.1.1 (192.168.1.1)  0.592 ms  0.679 ms *
 2  100.64.0.1 (100.64.0.1)  31.334 ms  31.337 ms  31.365 ms
 3  172.16.250.140 (172.16.250.140)  31.358 ms  31.385 ms  44.686 ms
 4  undefined.hostname.localhost (206.224.65.206)  44.845 ms undefined.hostname.localhost (206.224.65.198)  44.784 ms undefined.hostname.localhost (206.224.65.202)  44.698 ms
 5  undefined.hostname.localhost (206.224.65.180)  44.645 ms undefined.hostname.localhost (206.224.65.192)  44.793 ms undefined.hostname.localhost (206.224.65.186)  44.709 ms
 6  ffm-b5-link.ip.twelve99.net (62.115.37.20)  44.840 ms  34.356 ms ffm-bb1-link.ip.twelve99.net (62.115.114.88)  34.194 ms
 7  ffm-bb2-link.ip.twelve99.net (62.115.124.118)  34.215 ms ffm-bb1-link.ip.twelve99.net (62.115.124.116)  43.126 ms ffm-bb1-link.ip.twelve99.net (62.115.114.88)  43.141 ms
 8  hbg-bb3-link.ip.twelve99.net (62.115.123.77)  51.008 ms  51.007 ms  84.174 ms
 9  hbg-b2-link.ip.twelve99.net (62.115.120.71)  84.227 ms  84.205 ms  84.109 ms
10  dfn-svc083360-ic373396.ip.twelve99-cust.net (213.248.100.167)  97.359 ms  97.248 ms  97.294 ms
11  cr-erl2-be7.x-win.dfn.de (188.1.146.209)  97.368 ms  97.339 ms  97.334 ms
12  cr-gar1-be3.x-win.dfn.de (188.1.144.214)  111.413 ms  111.420 ms  107.684 ms
13  kr-gar188-0.x-win.dfn.de (188.1.37.90)  107.561 ms  107.568 ms  114.082 ms
14  vl-3001.cvr2-2wr.lrz.de (129.187.0.168)  79.410 ms  79.448 ms  79.326 ms
15  tu-muenchen.de (129.187.255.109)  119.340 ms  119.224 ms  119.218 ms
16  f5slb4.lrz.de (129.187.255.244)  2659.150 ms !H  2232.461 ms !H  2232.495 ms !H
