traceroute to tum.de (129.187.255.109), 30 hops max, 60 byte packets
 1  192.168.1.1 (192.168.1.1)  0.541 ms  0.611 ms *
 2  100.64.0.1 (100.64.0.1)  47.347 ms  47.357 ms  47.416 ms
 3  172.16.250.140 (172.16.250.140)  47.400 ms  60.564 ms  60.544 ms
 4  undefined.hostname.localhost (206.224.65.198)  60.584 ms undefined.hostname.localhost (206.224.65.194)  60.595 ms  60.576 ms
 5  undefined.hostname.localhost (206.224.65.182)  73.956 ms undefined.hostname.localhost (206.224.65.178)  73.908 ms undefined.hostname.localhost (206.224.65.184)  73.953 ms
 6  ffm-bb1-link.ip.twelve99.net (62.115.114.88)  74.042 ms  57.987 ms ffm-b5-link.ip.twelve99.net (62.115.37.20)  57.995 ms
 7  ffm-bb2-link.ip.twelve99.net (62.115.124.118)  57.884 ms ffm-bb1-link.ip.twelve99.net (62.115.124.116)  49.738 ms ffm-bb2-link.ip.twelve99.net (62.115.124.118)  49.762 ms
 8  hbg-bb3-link.ip.twelve99.net (62.115.123.77)  58.906 ms  58.946 ms hbg-bb2-link.ip.twelve99.net (62.115.127.90)  58.888 ms
 9  hbg-b2-link.ip.twelve99.net (62.115.120.71)  85.364 ms hbg-b2-link.ip.twelve99.net (62.115.132.109)  85.377 ms  85.356 ms
10  dfn-svc083360-ic373396.ip.twelve99-cust.net (213.248.100.167)  85.371 ms  72.336 ms  72.321 ms
11  cr-erl2-be7.x-win.dfn.de (188.1.146.209)  78.926 ms  85.529 ms  85.503 ms
12  cr-gar1-be3.x-win.dfn.de (188.1.144.214)  85.527 ms  85.502 ms  92.100 ms
13  kr-gar188-0.x-win.dfn.de (188.1.37.90)  92.040 ms  66.770 ms  73.404 ms
14  vl-3001.cvr2-2wr.lrz.de (129.187.0.168)  73.369 ms  79.965 ms  86.610 ms
15  tu-muenchen.de (129.187.255.109)  86.613 ms  86.593 ms  79.451 ms
16  f5slb4.lrz.de (129.187.255.244)  1199.452 ms !H  1199.421 ms !H  1055.169 ms !H
