traceroute to tum.de (129.187.255.109), 30 hops max, 60 byte packets
 1  192.168.1.1 (192.168.1.1)  0.560 ms  0.633 ms *
 2  100.64.0.1 (100.64.0.1)  46.690 ms  46.704 ms  46.760 ms
 3  172.16.250.140 (172.16.250.140)  59.975 ms  60.028 ms  60.033 ms
 4  undefined.hostname.localhost (206.224.65.198)  73.453 ms undefined.hostname.localhost (206.224.65.206)  73.367 ms undefined.hostname.localhost (206.224.65.194)  73.380 ms
 5  undefined.hostname.localhost (206.224.65.182)  73.254 ms undefined.hostname.localhost (206.224.65.188)  73.258 ms undefined.hostname.localhost (206.224.65.180)  73.150 ms
 6  ffm-b5-link.ip.twelve99.net (62.115.37.20)  73.412 ms  63.004 ms  62.967 ms
 7  ffm-bb1-link.ip.twelve99.net (62.115.114.88)  62.795 ms  29.444 ms ffm-bb1-link.ip.twelve99.net (62.115.124.116)  38.751 ms
 8  hbg-bb3-link.ip.twelve99.net (62.115.123.77)  52.038 ms hbg-bb2-link.ip.twelve99.net (62.115.127.90)  42.005 ms hbg-bb3-link.ip.twelve99.net (62.115.123.77)  37.858 ms
 9  hbg-b2-link.ip.twelve99.net (62.115.132.109)  37.881 ms hbg-b2-link.ip.twelve99.net (62.115.120.71)  37.811 ms hbg-b2-link.ip.twelve99.net (62.115.132.109)  51.008 ms
10  dfn-svc083360-ic373396.ip.twelve99-cust.net (213.248.100.167)  51.040 ms  50.997 ms  50.972 ms
11  cr-erl2-be7.x-win.dfn.de (188.1.146.209)  64.342 ms  77.678 ms  77.626 ms
12  cr-gar1-be3.x-win.dfn.de (188.1.144.214)  77.688 ms  77.665 ms  70.581 ms
13  kr-gar188-0.x-win.dfn.de (188.1.37.90)  70.508 ms  84.092 ms  84.044 ms
14  vl-3001.cvr2-2wr.lrz.de (129.187.0.168)  72.018 ms  72.009 ms  72.063 ms
15  wwwv21.tum.de (129.187.255.109)  58.624 ms  72.004 ms  71.983 ms
16  f5slb4.lrz.de (129.187.255.244)  541.435 ms !H  467.291 ms !H  467.211 ms !H
