traceroute to tum.de (129.187.255.109), 30 hops max, 60 byte packets
 1  192.168.1.1 (192.168.1.1)  0.622 ms  0.690 ms *
 2  100.64.0.1 (100.64.0.1)  37.975 ms  53.880 ms  53.885 ms
 3  172.16.250.140 (172.16.250.140)  53.920 ms  53.917 ms  53.972 ms
 4  undefined.hostname.localhost (206.224.65.202)  69.963 ms  69.866 ms  69.919 ms
 5  undefined.hostname.localhost (206.224.65.182)  69.785 ms undefined.hostname.localhost (206.224.65.180)  69.692 ms  69.780 ms
 6  ffm-b5-link.ip.twelve99.net (62.115.37.20)  69.838 ms ffm-bb1-link.ip.twelve99.net (62.115.114.88)  35.817 ms ffm-b5-link.ip.twelve99.net (62.115.37.20)  44.842 ms
 7  ffm-bb2-link.ip.twelve99.net (62.115.124.118)  44.715 ms ffm-bb1-link.ip.twelve99.net (62.115.114.88)  44.719 ms ffm-bb2-link.ip.twelve99.net (62.115.124.118)  76.719 ms
 8  hbg-bb3-link.ip.twelve99.net (62.115.123.77)  76.747 ms  76.797 ms  76.694 ms
 9  hbg-b2-link.ip.twelve99.net (62.115.120.71)  76.744 ms  76.745 ms  76.696 ms
10  dfn-svc083360-ic373396.ip.twelve99-cust.net (213.248.100.167)  92.544 ms  92.425 ms  92.434 ms
11  cr-erl2-be7.x-win.dfn.de (188.1.146.209)  92.506 ms  92.458 ms  82.439 ms
12  cr-gar1-be3.x-win.dfn.de (188.1.144.214)  63.826 ms  63.819 ms  50.626 ms
13  kr-gar188-0.x-win.dfn.de (188.1.37.90)  58.108 ms  64.723 ms  64.730 ms
14  vl-3001.cvr2-2wr.lrz.de (129.187.0.168)  71.385 ms  71.357 ms  71.358 ms
15  wwwv21.tum.de (129.187.255.109)  71.252 ms  71.308 ms  71.183 ms
16  f5slb4.lrz.de (129.187.255.244)  857.865 ms !H  857.921 ms !H  857.807 ms !H
