traceroute to tum.de (129.187.255.109), 30 hops max, 60 byte packets
 1  192.168.1.1 (192.168.1.1)  0.351 ms  0.441 ms *
 2  100.64.0.1 (100.64.0.1)  28.651 ms  41.160 ms  41.185 ms
 3  172.16.250.140 (172.16.250.140)  41.242 ms  54.470 ms  54.548 ms
 4  undefined.hostname.localhost (206.224.65.194)  54.615 ms  54.612 ms  54.631 ms
 5  undefined.hostname.localhost (206.224.65.178)  54.501 ms  54.525 ms  54.594 ms
 6  ffm-b5-link.ip.twelve99.net (62.115.37.20)  54.659 ms  34.622 ms  34.621 ms
 7  ffm-bb2-link.ip.twelve99.net (62.115.124.118)  34.542 ms  35.266 ms  29.062 ms
 8  hbg-bb2-link.ip.twelve99.net (62.115.127.90)  42.348 ms  42.367 ms  42.441 ms
 9  hbg-b2-link.ip.twelve99.net (62.115.132.109)  42.420 ms  42.414 ms  56.485 ms
10  dfn-svc083360-ic373396.ip.twelve99-cust.net (213.248.100.167)  56.509 ms  56.504 ms  56.520 ms
11  cr-erl2-be7.x-win.dfn.de (188.1.146.209)  75.685 ms  75.700 ms  75.779 ms
12  cr-gar1-be3.x-win.dfn.de (188.1.144.214)  75.774 ms  75.770 ms  75.767 ms
13  kr-gar188-0.x-win.dfn.de (188.1.37.90)  59.934 ms  60.336 ms  74.467 ms
14  vl-3001.cvr2-2wr.lrz.de (129.187.0.168)  69.372 ms  69.377 ms  69.444 ms
15  tu-muenchen.de (129.187.255.109)  58.102 ms  71.431 ms  71.454 ms
