traceroute to tum.de (129.187.255.109), 30 hops max, 60 byte packets
 1  192.168.1.1 (192.168.1.1)  0.617 ms  0.702 ms *
 2  100.64.0.1 (100.64.0.1)  36.488 ms  36.479 ms  36.528 ms
 3  172.16.250.140 (172.16.250.140)  36.507 ms  51.902 ms  51.907 ms
 4  undefined.hostname.localhost (206.224.65.202)  51.922 ms undefined.hostname.localhost (206.224.65.206)  51.932 ms undefined.hostname.localhost (206.224.65.194)  51.949 ms
 5  undefined.hostname.localhost (206.224.65.186)  51.890 ms undefined.hostname.localhost (206.224.65.182)  67.621 ms undefined.hostname.localhost (206.224.65.190)  67.630 ms
 6  ffm-bb1-link.ip.twelve99.net (62.115.114.88)  67.629 ms ffm-b5-link.ip.twelve99.net (62.115.37.20)  39.832 ms ffm-bb1-link.ip.twelve99.net (62.115.114.88)  39.776 ms
 7  ffm-bb1-link.ip.twelve99.net (62.115.114.88)  47.760 ms ffm-bb2-link.ip.twelve99.net (62.115.124.118)  40.822 ms ffm-bb1-link.ip.twelve99.net (62.115.124.116)  40.735 ms
 8  hbg-bb2-link.ip.twelve99.net (62.115.127.90)  43.167 ms hbg-bb3-link.ip.twelve99.net (62.115.123.77)  43.088 ms  52.266 ms
 9  hbg-b2-link.ip.twelve99.net (62.115.120.71)  52.335 ms hbg-b2-link.ip.twelve99.net (62.115.132.109)  52.311 ms hbg-b2-link.ip.twelve99.net (62.115.120.71)  52.210 ms
10  dfn-svc083360-ic373396.ip.twelve99-cust.net (213.248.100.167)  60.217 ms  68.128 ms  68.136 ms
11  cr-erl2-be7.x-win.dfn.de (188.1.146.209)  75.466 ms  84.118 ms  84.127 ms
12  cr-gar1-be3.x-win.dfn.de (188.1.144.214)  91.534 ms  91.479 ms  80.947 ms
13  kr-gar188-0.x-win.dfn.de (188.1.37.90)  80.858 ms  71.879 ms  71.813 ms
14  vl-3001.cvr2-2wr.lrz.de (129.187.0.168)  79.724 ms  79.767 ms  79.643 ms
15  tu-muenchen.de (129.187.255.109)  87.600 ms  87.607 ms  87.586 ms
16  f5slb4.lrz.de (129.187.255.244)  1667.640 ms !H  1276.804 ms !H  1256.856 ms !H
