traceroute to tum.de (129.187.255.109), 30 hops max, 60 byte packets
 1  192.168.1.1 (192.168.1.1)  0.628 ms  0.764 ms *
 2  100.64.0.1 (100.64.0.1)  47.762 ms  47.761 ms  63.828 ms
 3  172.16.250.140 (172.16.250.140)  63.824 ms  63.850 ms  63.878 ms
 4  undefined.hostname.localhost (206.224.65.198)  79.685 ms undefined.hostname.localhost (206.224.65.194)  79.688 ms undefined.hostname.localhost (206.224.65.202)  79.693 ms
 5  undefined.hostname.localhost (206.224.65.192)  63.829 ms  79.554 ms undefined.hostname.localhost (206.224.65.186)  63.749 ms
 6  ffm-bb1-link.ip.twelve99.net (62.115.114.88)  79.625 ms ffm-b5-link.ip.twelve99.net (62.115.37.20)  69.075 ms  68.998 ms
 7  ffm-bb1-link.ip.twelve99.net (62.115.124.116)  68.929 ms ffm-bb1-link.ip.twelve99.net (62.115.114.88)  51.777 ms ffm-bb2-link.ip.twelve99.net (62.115.124.118)  51.771 ms
 8  hbg-bb2-link.ip.twelve99.net (62.115.127.90)  54.919 ms  54.912 ms hbg-bb3-link.ip.twelve99.net (62.115.123.77)  62.792 ms
 9  hbg-b2-link.ip.twelve99.net (62.115.120.71)  62.782 ms  78.674 ms hbg-b2-link.ip.twelve99.net (62.115.132.109)  78.684 ms
10  dfn-svc083360-ic373396.ip.twelve99-cust.net (213.248.100.167)  67.227 ms  67.163 ms  57.010 ms
11  cr-erl2-be7.x-win.dfn.de (188.1.146.209)  81.108 ms  81.200 ms  96.915 ms
12  cr-gar1-be3.x-win.dfn.de (188.1.144.214)  96.941 ms  96.937 ms  69.100 ms
13  kr-gar188-0.x-win.dfn.de (188.1.37.90)  84.997 ms  85.048 ms  94.322 ms
14  vl-3001.cvr2-2wr.lrz.de (129.187.0.168)  94.297 ms  94.348 ms  94.323 ms
15  tu-muenchen.de (129.187.255.109)  94.170 ms  84.865 ms  94.150 ms
16  f5slb4.lrz.de (129.187.255.244)  1028.742 ms !H  1028.725 ms !H  1028.782 ms !H
