traceroute to tum.de (129.187.255.109), 30 hops max, 60 byte packets
 1  192.168.1.1 (192.168.1.1)  0.529 ms  0.610 ms *
 2  100.64.0.1 (100.64.0.1)  37.178 ms  45.083 ms  45.087 ms
 3  172.16.250.140 (172.16.250.140)  45.144 ms  45.208 ms  45.193 ms
 4  undefined.hostname.localhost (206.224.65.202)  45.238 ms undefined.hostname.localhost (206.224.65.198)  45.199 ms  45.212 ms
 5  undefined.hostname.localhost (206.224.65.180)  45.025 ms undefined.hostname.localhost (206.224.65.192)  45.036 ms  45.099 ms
 6  ffm-b5-link.ip.twelve99.net (62.115.37.20)  53.017 ms ffm-bb1-link.ip.twelve99.net (62.115.114.88)  35.376 ms  35.810 ms
 7  ffm-bb1-link.ip.twelve99.net (62.115.114.88)  35.798 ms ffm-bb2-link.ip.twelve99.net (62.115.124.118)  47.722 ms ffm-bb1-link.ip.twelve99.net (62.115.114.88)  47.667 ms
 8  hbg-bb3-link.ip.twelve99.net (62.115.123.77)  55.639 ms  55.583 ms  55.590 ms
 9  hbg-b2-link.ip.twelve99.net (62.115.120.71)  55.595 ms  55.644 ms  55.624 ms
10  dfn-svc083360-ic373396.ip.twelve99-cust.net (213.248.100.167)  63.526 ms  71.417 ms  63.446 ms
11  cr-erl2-be7.x-win.dfn.de (188.1.146.209)  79.451 ms  79.496 ms  88.154 ms
12  cr-gar1-be3.x-win.dfn.de (188.1.144.214)  67.810 ms  67.874 ms  67.742 ms
13  kr-gar188-0.x-win.dfn.de (188.1.37.90)  67.646 ms  67.719 ms  67.557 ms
14  vl-3001.cvr2-2wr.lrz.de (129.187.0.168)  67.697 ms  67.783 ms  67.710 ms
15  wwwv21.tum.de (129.187.255.109)  67.430 ms  67.537 ms  67.358 ms
16  f5slb4.lrz.de (129.187.255.244)  1583.313 ms !H  1515.977 ms !H  303.605 ms !H
