traceroute to tum.de (129.187.255.109), 30 hops max, 60 byte packets
 1  192.168.1.1 (192.168.1.1)  0.611 ms  0.718 ms *
 2  100.64.0.1 (100.64.0.1)  36.391 ms  52.277 ms  52.271 ms
 3  172.16.250.140 (172.16.250.140)  52.302 ms  52.364 ms  52.342 ms
 4  undefined.hostname.localhost (206.224.65.198)  52.368 ms  52.411 ms undefined.hostname.localhost (206.224.65.194)  52.363 ms
 5  undefined.hostname.localhost (206.224.65.184)  52.196 ms undefined.hostname.localhost (206.224.65.188)  52.197 ms undefined.hostname.localhost (206.224.65.184)  52.252 ms
 6  ffm-b5-link.ip.twelve99.net (62.115.37.20)  52.329 ms  31.699 ms ffm-bb1-link.ip.twelve99.net (62.115.114.88)  51.087 ms
 7  ffm-bb2-link.ip.twelve99.net (62.115.124.118)  66.957 ms  66.957 ms ffm-bb1-link.ip.twelve99.net (62.115.114.88)  67.009 ms
 8  hbg-bb3-link.ip.twelve99.net (62.115.123.77)  66.972 ms  66.926 ms hbg-bb2-link.ip.twelve99.net (62.115.127.90)  67.002 ms
 9  hbg-b2-link.ip.twelve99.net (62.115.120.71)  66.904 ms hbg-b2-link.ip.twelve99.net (62.115.132.109)  66.982 ms hbg-b2-link.ip.twelve99.net (62.115.120.71)  66.939 ms
10  dfn-svc083360-ic373396.ip.twelve99-cust.net (213.248.100.167)  82.897 ms  82.849 ms  82.916 ms
11  cr-erl2-be7.x-win.dfn.de (188.1.146.209)  82.911 ms  82.862 ms  82.825 ms
12  cr-gar1-be3.x-win.dfn.de (188.1.144.214)  75.507 ms  76.446 ms  76.333 ms
13  kr-gar188-0.x-win.dfn.de (188.1.37.90)  83.942 ms  83.862 ms  99.742 ms
14  vl-3001.cvr2-2wr.lrz.de (129.187.0.168)  99.740 ms  115.984 ms  115.959 ms
15  tu-muenchen.de (129.187.255.109)  115.871 ms  115.916 ms  115.794 ms
16  f5slb4.lrz.de (129.187.255.244)  1284.619 ms !H  1284.396 ms !H  1190.813 ms !H
